segment_idx,model,standard_wer,lattice_wer,wer_reduction,ref_length
0,Model H,0.0,0.0,0.0,6
0,Model i,0.16666666666666666,0.0,0.16666666666666666,6
0,Model k,0.0,0.0,0.0,6
0,Model l,0.0,0.0,0.0,6
0,Model m,0.3333333333333333,0.16666666666666666,0.16666666666666666,6
0,Model n,0.0,0.0,0.0,6
0,Unnamed: 8,1.0,1.0,0.0,6
1,Model H,0.0,0.14285714285714285,-0.14285714285714285,6
1,Model i,0.0,0.14285714285714285,-0.14285714285714285,6
1,Model k,1.0,0.42857142857142855,0.5714285714285714,6
1,Model l,0.3333333333333333,0.0,0.3333333333333333,6
1,Model m,1.0,0.2857142857142857,0.7142857142857143,6
1,Model n,0.3333333333333333,0.14285714285714285,0.19047619047619047,6
1,Unnamed: 8,1.0,1.0,0.0,6
2,Model H,0.0,0.14285714285714285,-0.14285714285714285,6
2,Model i,0.0,0.14285714285714285,-0.14285714285714285,6
2,Model k,0.0,0.14285714285714285,-0.14285714285714285,6
2,Model l,0.0,0.14285714285714285,-0.14285714285714285,6
2,Model m,0.3333333333333333,0.0,0.3333333333333333,6
2,Model n,0.3333333333333333,0.0,0.3333333333333333,6
2,Unnamed: 8,1.0,1.0,0.0,6
3,Model H,0.0,0.0,0.0,6
3,Model i,0.0,0.0,0.0,6
3,Model k,0.0,0.0,0.0,6
3,Model l,0.3333333333333333,0.16666666666666666,0.16666666666666666,6
3,Model m,0.0,0.0,0.0,6
3,Model n,0.0,0.0,0.0,6
3,Unnamed: 8,1.0,1.0,0.0,6
4,Model H,0.0,0.0,0.0,6
4,Model i,0.0,0.0,0.0,6
4,Model k,0.0,0.0,0.0,6
4,Model l,0.0,0.0,0.0,6
4,Model m,0.0,0.0,0.0,6
4,Model n,0.0,0.0,0.0,6
4,Unnamed: 8,1.0,1.0,0.0,6
5,Model H,0.0,0.14285714285714285,-0.14285714285714285,6
5,Model i,0.0,0.14285714285714285,-0.14285714285714285,6
5,Model k,0.0,0.14285714285714285,-0.14285714285714285,6
5,Model l,0.0,0.14285714285714285,-0.14285714285714285,6
5,Model m,0.8333333333333334,0.14285714285714285,0.6904761904761905,6
5,Model n,0.16666666666666666,0.0,0.16666666666666666,6
5,Unnamed: 8,1.0,1.0,0.0,6
6,Model H,0.4,0.0,0.4,5
6,Model i,0.0,0.16666666666666666,-0.16666666666666666,5
6,Model k,0.6,0.0,0.6,5
6,Model l,0.4,0.0,0.4,5
6,Model m,0.4,0.16666666666666666,0.23333333333333336,5
6,Model n,0.4,0.0,0.4,5
6,Unnamed: 8,1.0,1.0,0.0,5
7,Model H,0.0,0.0,0.0,6
7,Model i,0.0,0.0,0.0,6
7,Model k,0.16666666666666666,0.0,0.16666666666666666,6
7,Model l,0.3333333333333333,0.0,0.3333333333333333,6
7,Model m,0.0,0.0,0.0,6
7,Model n,0.16666666666666666,0.16666666666666666,0.0,6
7,Unnamed: 8,1.0,1.0,0.0,6
8,Model H,0.0,0.0,0.0,6
8,Model i,0.0,0.0,0.0,6
8,Model k,0.0,0.0,0.0,6
8,Model l,0.0,0.0,0.0,6
8,Model m,0.16666666666666666,0.0,0.16666666666666666,6
8,Model n,0.0,0.0,0.0,6
8,Unnamed: 8,1.0,1.0,0.0,6
9,Model H,0.0,0.0,0.0,6
9,Model i,0.0,0.0,0.0,6
9,Model k,0.0,0.0,0.0,6
9,Model l,0.0,0.0,0.0,6
9,Model m,0.0,0.0,0.0,6
9,Model n,0.0,0.0,0.0,6
9,Unnamed: 8,1.0,1.0,0.0,6
10,Model H,0.14285714285714285,0.14285714285714285,0.0,7
10,Model i,0.0,0.0,0.0,7
10,Model k,0.42857142857142855,0.14285714285714285,0.2857142857142857,7
10,Model l,0.2857142857142857,0.14285714285714285,0.14285714285714285,7
10,Model m,0.2857142857142857,0.14285714285714285,0.14285714285714285,7
10,Model n,0.14285714285714285,0.14285714285714285,0.0,7
10,Unnamed: 8,1.0,1.0,0.0,7
11,Model H,0.0,0.0,0.0,6
11,Model i,0.0,0.0,0.0,6
11,Model k,0.0,0.0,0.0,6
11,Model l,0.0,0.0,0.0,6
11,Model m,0.16666666666666666,0.0,0.16666666666666666,6
11,Model n,0.0,0.0,0.0,6
11,Unnamed: 8,1.0,1.0,0.0,6
12,Model H,0.0,0.022727272727272728,-0.022727272727272728,43
12,Model i,0.0,0.022727272727272728,-0.022727272727272728,43
12,Model k,0.0,0.022727272727272728,-0.022727272727272728,43
12,Model l,0.11627906976744186,0.022727272727272728,0.09355179704016914,43
12,Model m,0.11627906976744186,0.045454545454545456,0.0708245243128964,43
12,Model n,0.023255813953488372,0.0,0.023255813953488372,43
12,Unnamed: 8,1.0,1.0,0.0,43
13,Model H,0.09302325581395349,0.022727272727272728,0.07029598308668075,43
13,Model i,0.0,0.022727272727272728,-0.022727272727272728,43
13,Model k,0.046511627906976744,0.022727272727272728,0.023784355179704016,43
13,Model l,0.11627906976744186,0.022727272727272728,0.09355179704016914,43
13,Model m,0.16279069767441862,0.045454545454545456,0.11733615221987316,43
13,Model n,0.13953488372093023,0.045454545454545456,0.09408033826638477,43
13,Unnamed: 8,1.0,1.0,0.0,43
14,Model H,0.0,0.0,0.0,37
14,Model i,0.0,0.0,0.0,37
14,Model k,0.02702702702702703,0.0,0.02702702702702703,37
14,Model l,0.05405405405405406,0.0,0.05405405405405406,37
14,Model m,0.10810810810810811,0.0,0.10810810810810811,37
14,Model n,0.05405405405405406,0.0,0.05405405405405406,37
14,Unnamed: 8,1.0,1.0,0.0,37
15,Model H,0.045454545454545456,0.0,0.045454545454545456,22
15,Model i,0.0,0.0,0.0,22
15,Model k,0.045454545454545456,0.0,0.045454545454545456,22
15,Model l,0.13636363636363635,0.0,0.13636363636363635,22
15,Model m,0.18181818181818182,0.0,0.18181818181818182,22
15,Model n,0.09090909090909091,0.0,0.09090909090909091,22
15,Unnamed: 8,1.0,1.0,0.0,22
16,Model H,0.022222222222222223,0.0,0.022222222222222223,45
16,Model i,0.0,0.0,0.0,45
16,Model k,0.08888888888888889,0.044444444444444446,0.044444444444444446,45
16,Model l,0.13333333333333333,0.044444444444444446,0.08888888888888888,45
16,Model m,0.1111111111111111,0.044444444444444446,0.06666666666666665,45
16,Model n,0.08888888888888889,0.044444444444444446,0.044444444444444446,45
16,Unnamed: 8,1.0,1.0,0.0,45
17,Model H,0.0,0.021739130434782608,-0.021739130434782608,45
17,Model i,0.0,0.021739130434782608,-0.021739130434782608,45
17,Model k,0.08888888888888889,0.021739130434782608,0.06714975845410628,45
17,Model l,0.0,0.021739130434782608,-0.021739130434782608,45
17,Model m,0.15555555555555556,0.08695652173913043,0.06859903381642513,45
17,Model n,0.08888888888888889,0.043478260869565216,0.045410628019323676,45
17,Unnamed: 8,1.0,1.0,0.0,45
18,Model H,0.08333333333333333,0.0,0.08333333333333333,12
18,Model i,0.0,0.07692307692307693,-0.07692307692307693,12
18,Model k,0.16666666666666666,0.0,0.16666666666666666,12
18,Model l,0.16666666666666666,0.0,0.16666666666666666,12
18,Model m,0.16666666666666666,0.07692307692307693,0.08974358974358973,12
18,Model n,0.0,0.07692307692307693,-0.07692307692307693,12
18,Unnamed: 8,1.0,1.0,0.0,12
19,Model H,0.0,0.0,0.0,23
19,Model i,0.0,0.0,0.0,23
19,Model k,0.2608695652173913,0.043478260869565216,0.21739130434782608,23
19,Model l,0.13043478260869565,0.043478260869565216,0.08695652173913043,23
19,Model m,0.21739130434782608,0.043478260869565216,0.17391304347826086,23
19,Model n,0.13043478260869565,0.0,0.13043478260869565,23
19,Unnamed: 8,1.0,1.0,0.0,23
20,Model H,0.024390243902439025,0.024390243902439025,0.0,41
20,Model i,0.0,0.0,0.0,41
20,Model k,0.04878048780487805,0.0,0.04878048780487805,41
20,Model l,0.04878048780487805,0.0,0.04878048780487805,41
20,Model m,0.17073170731707318,0.04878048780487805,0.12195121951219513,41
20,Model n,0.17073170731707318,0.0,0.17073170731707318,41
20,Unnamed: 8,1.0,1.0,0.0,41
21,Model H,0.025,0.0,0.025,40
21,Model i,0.0,0.0,0.0,40
21,Model k,0.075,0.0,0.075,40
21,Model l,0.05,0.0,0.05,40
21,Model m,0.25,0.075,0.175,40
21,Model n,0.2,0.025,0.17500000000000002,40
21,Unnamed: 8,1.0,1.0,0.0,40
22,Model H,0.0,0.0,0.0,17
22,Model i,0.0,0.0,0.0,17
22,Model k,0.058823529411764705,0.0,0.058823529411764705,17
22,Model l,0.058823529411764705,0.0,0.058823529411764705,17
22,Model m,0.23529411764705882,0.0,0.23529411764705882,17
22,Model n,0.23529411764705882,0.0,0.23529411764705882,17
22,Unnamed: 8,1.0,1.0,0.0,17
23,Model H,0.0,0.0,0.0,17
23,Model i,0.0,0.0,0.0,17
23,Model k,0.058823529411764705,0.0,0.058823529411764705,17
23,Model l,0.11764705882352941,0.058823529411764705,0.058823529411764705,17
23,Model m,0.058823529411764705,0.0,0.058823529411764705,17
23,Model n,0.0,0.0,0.0,17
23,Unnamed: 8,1.0,1.0,0.0,17
24,Model H,0.05555555555555555,0.05555555555555555,0.0,18
24,Model i,0.0,0.0,0.0,18
24,Model k,0.0,0.0,0.0,18
24,Model l,0.1111111111111111,0.0,0.1111111111111111,18
24,Model m,0.1111111111111111,0.0,0.1111111111111111,18
24,Model n,0.1111111111111111,0.1111111111111111,0.0,18
24,Unnamed: 8,1.0,1.0,0.0,18
25,Model H,0.11764705882352941,0.05555555555555555,0.06209150326797386,17
25,Model i,0.0,0.05555555555555555,-0.05555555555555555,17
25,Model k,0.0,0.05555555555555555,-0.05555555555555555,17
25,Model l,0.11764705882352941,0.05555555555555555,0.06209150326797386,17
25,Model m,0.17647058823529413,0.16666666666666666,0.009803921568627472,17
25,Model n,0.058823529411764705,0.05555555555555555,0.0032679738562091526,17
25,Unnamed: 8,1.0,1.0,0.0,17
26,Model H,0.125,0.05555555555555555,0.06944444444444445,16
26,Model i,0.0,0.1111111111111111,-0.1111111111111111,16
26,Model k,0.0,0.1111111111111111,-0.1111111111111111,16
26,Model l,0.1875,0.1111111111111111,0.0763888888888889,16
26,Model m,0.0,0.1111111111111111,-0.1111111111111111,16
26,Model n,0.0,0.1111111111111111,-0.1111111111111111,16
26,Unnamed: 8,1.0,1.0,0.0,16
27,Model H,0.0,0.0,0.0,17
27,Model i,0.0,0.0,0.0,17
27,Model k,0.058823529411764705,0.0,0.058823529411764705,17
27,Model l,0.11764705882352941,0.0,0.11764705882352941,17
27,Model m,0.058823529411764705,0.0,0.058823529411764705,17
27,Model n,0.11764705882352941,0.0,0.11764705882352941,17
27,Unnamed: 8,1.0,1.0,0.0,17
28,Model H,0.0,0.0,0.0,7
28,Model i,0.0,0.0,0.0,7
28,Model k,0.0,0.0,0.0,7
28,Model l,0.5714285714285714,0.0,0.5714285714285714,7
28,Model m,0.42857142857142855,0.0,0.42857142857142855,7
28,Model n,0.2857142857142857,0.0,0.2857142857142857,7
28,Unnamed: 8,1.0,1.0,0.0,7
29,Model H,0.0,0.125,-0.125,7
29,Model i,0.0,0.125,-0.125,7
29,Model k,0.0,0.125,-0.125,7
29,Model l,0.0,0.125,-0.125,7
29,Model m,0.2857142857142857,0.125,0.1607142857142857,7
29,Model n,0.2857142857142857,0.0,0.2857142857142857,7
